Designator,Comment,Quantity,Supplier Link,Component Name,Manufacturer,Manufacturer Part #,In OPL?,Footprint,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
"H1,H3,H2",,3,https://www.pololu.com/product/2749,"2x20 Female Header, Tall Stacking",Sullins Connector Solutions,PPPC202LFHN-M53 RC,Yes,2x20POS,Pololu,2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",PTH,Alternative: PRT-16763 (SparkFun or DigiKey)
SPI,,1,https://www.pololu.com/product/1023,2x3 Female PTH Header,Pololu,1023,Yes,2x3POS,Pololu,1023,"0.100"" (2.54 mm) Female Header: 2x3-Pin, Straight",PTH,
DUE1,"Note for ordering: do not order separately, break 1x40 header (see last line)",1,https://www.pololu.com/product/965,1X10 Male PTH Header,Pololu,965,Yes,1x10POS,Pololu,965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",PTH,
"DUE2, DUE3, DUE5, DUE6, DUE7","Note for ordering: do not order separately, break 1x40 header (see last line)",5,https://www.pololu.com/product/965,1X8 Male PTH Header,Pololu,965,Yes,1x8POS,Pololu,965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",PTH,
DUE4,"Note for ordering: do not order separately, break 1x40 header (see last line)",1,https://www.pololu.com/product/966,2x18 Male PTH Header,Pololu,966,Yes,2x18POS,Pololu,966,"0.100"" (2.54 mm) Breakaway Male Header: 2×40-Pin, Straight",PTH,
J1,,1,https://www.digikey.com/en/products/detail/molex/5040500891/4693487,1x8 1.5mm Pitch Right-Angle Header,Molex,5040500891,Yes,1x12POS,Digi-Key,WM14421CT-ND,CONN HEADER SMD R/A 8POS 1.5MM,SMT,
"J2,J6",,2,https://www.digikey.com/en/products/detail/5040500691/WM10143CT-ND/4357143,1x6 1.5mm Pitch Right-Angle Header,Molex,5040500691,Yes,1x4POS,Digi-Key,WM10143CT-ND,CONN HEADER SMD R/A 6POS 1.5MM,SMT,
"J7,J8,J9,J10",,4,https://www.digikey.com/en/products/detail/phoenix-contact/1814663/4452958,1x5 Spring Clamp Terminal Block,Phoenix Contact,1814663,Yes,1x5POS,Digi-Key,277-10065-1-ND,TERM BLOCK 5POS,SMT,
"U1,U2",,2,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV1T34DBVR/4555575,SOT-23 Non-Inverting Buffer,Texas Instruments,SN74LV1T34DBVR,Yes,SOT-23-5,Digi-Key,296-37176-1-ND,IC BUF NON-INVERT 5.5V SOT23-5,SMT,
"R1,R2",,2,https://www.digikey.com/en/products/detail/yageo/RC0603JR-0768RL/726821,68 Ohm 0603 Resistor,Yageo,RC0603JR-0768RL,Yes,603,Digi-Key,311-68GRCT-ND,RES SMD 68 OHM 5% 1/10W 0603,SMT,
2.54 mm header,Part for DUE1-DUE7,3,https://www.pololu.com/product/965,,,,,,,,,,